Supplier Name,Party GSTIN,Voucher Number,Voucher Date,Total Amount,Taxable Value,IGST Amount,CGST Amount,SGST Amount,HSN Code
ABC Chemicals Pvt Ltd,27AABCS1234A1Z5,INV/2025-26/001,05-01-2026,118000,100000,0,9000,9000,3901
ABC Chemicals Pvt Ltd,27AABCS1234A1Z5,INV/2025-26/002,06-01-2026,59000,50000,0,4500,4500,3901
ABC Chemicals Pvt Ltd,27AABCS1234A1Z5,INV/2025-26/003,07-01-2026,236000,200000,0,18000,18000,3901
ABC Chemicals Pvt Ltd,27AABCS1234A1Z5,INV/2025-26/004,08-01-2026,88500,75000,0,6750,6750,3901
ABC Chemicals Pvt Ltd,27AABCS1234A1Z5,INV/2025-26/005,10-01-2026,177000,150000,0,13500,13500,3901
Tata Metals Ltd,29AABCT5678B1Z3,TM/JAN/2026/006,03-01-2026,94400,80000,14400,0,0,7208
Tata Metals Ltd,29AABCT5678B1Z3,TM/JAN/2026/007,04-01-2026,141600,120000,21600,0,0,7208
Tata Metals Ltd,29AABCT5678B1Z3,TM/JAN/2026/008,09-01-2026,70800,60000,10800,0,0,7208
Tata Metals Ltd,29AABCT5678B1Z3,TM/JAN/2026/009,11-01-2026,295000,250000,45000,0,0,7208
Tata Metals Ltd,29AABCT5678B1Z3,TM/JAN/2026/010,12-01-2026,53100,45000,8100,0,0,7208
Metro Supplies Delhi,07AABCM9012C1Z1,MS/2026/011,02-01-2026,100800,90000,10800,0,0,8481
Metro Supplies Delhi,07AABCM9012C1Z1,MS/2026/012,05-01-2026,145600,130000,15600,0,0,8481
Metro Supplies Delhi,07AABCM9012C1Z1,MS/2026/013,08-01-2026,78400,70000,8400,0,0,8481
Metro Supplies Delhi,07AABCM9012C1Z1,MS/2026/014,13-01-2026,201600,180000,21600,0,0,8481
Metro Supplies Delhi,07AABCM9012C1Z1,MS/2026/015,14-01-2026,61600,55000,6600,0,0,8481
Reliance Traders,27AABCR3456D1Z7,RT/JAN26/016,06-01-2026,315000,300000,0,7500,7500,5201
Reliance Traders,27AABCR3456D1Z7,RT/JAN26/017,09-01-2026,210000,200000,0,5000,5000,5201
Reliance Traders,27AABCR3456D1Z7,RT/JAN26/018,12-01-2026,420000,400000,0,10000,10000,5201
Punjab Steel Works,06AABCP7890E1Z4,PSW/2026/019,07-01-2026,129800,110000,19800,0,0,7213
Punjab Steel Works,06AABCP7890E1Z4,PSW/2026/020,10-01-2026,100300,85000,15300,0,0,7213
ABC Chemicals Pvt Ltd,27AABCS1234A1Z5,INV/2025-26/021,15-01-2026,118000,100000,0,9000,9000,3901
Tata Metals Ltd,29AABCT5678B1Z3,TM/JAN/2026/022,16-01-2026,59000,50000,9000,0,0,7208
Metro Supplies Delhi,07AABCM9012C1Z1,MS/2026/023,17-01-2026,100800,90000,10800,0,0,8481
Tata Metals Ltd,29AABCT5678B1Z3,TM/JAN/2026/024,18-01-2026,141600,120000,21600,0,0,7208
Metro Supplies Delhi,07AABCM9012C1Z1,MS/2026/025,19-01-2026,129800,110000,19800,0,0,8481
ABC Chemicals Pvt Ltd,27AABCS1234A1Z5,INV/2025-26/026,20-01-2026,94400,80000,0,7200,7200,3901
Tata Metals Ltd,29AABCT5678B1Z3,TM/JAN/2026/027,22-01-2026,70800,60000,10800,0,0,7208
ABC Chemicals Pvt Ltd,27AABCS1234A1Z5,INV/2025-26/028,25-01-2026,47200,40000,0,3600,3600,3901
